EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
166067406,CIVIL SERVICE EMPLOYEES ASSOCIATION,% DOROTHY SNYDER,4695 LYSYCZYN RD,AVOCA,NY,14809-9703,1002,05,9,3000,196604,2,00,263000000,5,01,202409,0,0,02,0,09,0,0,0,,0007 HORNELL STATE EMPLOYEES
166067413,CIVIL SERVICE EMPLOYEES ASSOCIATION,% ZACKARY MONTIETH,143 WASHINGTON AVE,ALBANY,NY,12210-2303,1002,05,9,3000,196604,2,00,263000000,5,01,202409,0,0,02,0,09,0,0,0,,0516 OSWEGO CO STATE TRANSPRTN
166067416,CIVIL SERVICE EMPLOYEES ASSOCIATION,% MARK TURNER,1344 SILK RD,FULTON,NY,13069-4008,1002,05,9,3000,197007,2,00,263264279,5,01,202409,0,0,02,0,09,0,0,0,,0503 DISTRICT 3 CENTRAL BARGE CANAL
166067422,CIVIL SERVICE EMPLOYEES ASSOCIATION,% ROBIN ANN KAUFMAN,88 DEMPSTER ST,BUFFALO,NY,14206-1308,1002,05,9,3000,196604,2,00,263000000,5,01,202409,4,3,01,0,09,427230,67680,67680,,0303 ROSWELL PARK MEMRL INSTITUTE
166067430,CIVIL SERVICE EMPLOYEES ASSOCIATION,% RYAN HACHEE,687 CHILTON AVE,NIAGARA FALLS,NY,14301-1063,1002,05,9,3000,196604,2,00,263000000,5,01,202409,0,0,02,0,09,0,0,0,,0104 NIAGARA FRONTIER PARKS & RECR
166067433,CIVIL SERVICE EMPLOYEES ASSOCIATION,% MARAGRET BUKOVSCAK,143 WASHINGTON AVE,ALBANY,NY,12210-2303,1002,05,9,3000,194708,2,00,263000000,5,01,202409,0,0,02,0,09,0,0,0,J40,0525 NIAGRA DOT
166067509,ROCHESTER ELECTRICAL JOINT APPRENTICESHIP AND TRAINING TR,% MICHAEL BADER ADMN,470 WEST METRO PARK SUITE B,ROCHESTER,NY,14623-2619,0000,03,3,2000,199802,1,16,995126000,2,01,202407,6,6,01,0,07,4203620,2416292,1959936,J220,
166067510,UNITED STEELWORKERS,% JAMES KIRBY JR,PO BOX 1565,AUBURN,NY,13021-1049,0260,05,9,3000,196703,2,00,263264279,5,01,202412,0,0,02,0,12,0,0,0,,06989 LOCAL
166067570,CIVIL SERVICE EMPLOYEES ASSOCIATION,% ROBERT FRISK,741 RIVERSIDE AVE,ELMIRA,NY,14904-1927,1002,05,9,3000,196604,2,00,263264279,5,01,202409,3,3,01,0,09,62066,78631,78631,,0808 CHEMUNG COUNTY
166067571,CIVIL SERVICE EMPLOYEES ASSOCIATION,% MAUREEN KRUEGER,6830 TOWN LINE RD,FRANKLINVILLE,NY,14737-9732,1002,05,9,3000,196604,2,00,263000000,5,01,202409,4,4,01,0,09,107369,128568,128568,,0805 CATTARAUGUS COUNTY
166067584,EIGHTH DISTRICT DENTAL SOCIETY RELIEF FUND,,3831 HARLEM RD,BUFFALO,NY,14215-1907,0000,03,3,1000,196605,1,16,902265000,2,01,202312,4,0,02,0,12,103956,0,0,,
